VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Electric Range,Base MSRP,StateID
WAUUPBFF9H,Ray,Rayville,MO,64084,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16,39850,285
5YJ3E1EB4L,St. Louis,Saint Louis,MO,63137,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,285
1G1FZ6S02N,Snohomish,Everett,WA,98203,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,36500,335
5YJ3E1EB7J,Pierce,Puyallup,WA,98374,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,335
5YJXCAE27K,Pierce,Bonney Lake,WA,98391,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),237,85200,335
5YJ3E1EB3J,King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,335
5YJ3E1EC3M,Pierce,Bonney Lake,WA,98391,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,335
7SAYGDEE1N,Clark,Vancouver,WA,98661,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,335
1G1FX6S05H,King,Kenmore,WA,98028,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,36500,335
1G1FW6S04H,Thurston,Olympia,WA,98501,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,36500,335
5YJ3E1EB0J,Pierce,Edgewood,WA,98372,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,335
